serial no,distance,latitude,longitude
6585.0,164600.0,21.376975594800708,91.12679675733398
6586.0,164625.0,21.376754546085397,91.12674761165408
6587.0,164650.0,21.37653349734988,91.12669846612181
6588.0,164675.0,21.37631244859415,91.12664932073704
6589.0,164700.0,21.376091399818215,91.1266001754999
6590.0,164725.0,21.375870351022062,91.12655103041027
6591.0,164750.0,21.375649302205705,91.1265018854682
6592.0,164775.0,21.375428253369137,91.12645274067376
6593.0,164800.0,21.375207204512364,91.12640359602682
6594.0,164825.0,21.37498615563538,91.12635445152745
6595.0,164850.0,21.374765106738188,91.12630530717558
6596.0,164875.0,21.37454405782078,91.12625616297134
6597.0,164900.0,21.374323008883174,91.12620701891467
6598.0,164925.0,21.37410195992536,91.12615787500545
6599.0,164950.0,21.37388091094734,91.12610873124385
6600.0,164975.0,21.373659861949104,91.12605958762975
6601.0,165000.0,21.37343881293067,91.12601044416323
6602.0,165025.0,21.37321776389202,91.12596130084421
6603.0,165050.0,21.37299671483317,91.12591215767276
6604.0,165075.0,21.372775665754116,91.12586301464887
6605.0,165100.0,21.372554616654853,91.1258138717725
6606.0,165125.0,21.37233356753538,91.12576472904357
6607.0,165150.0,21.37211251839571,91.12571558646226
6608.0,165175.0,21.37189146923583,91.12566644402847
6609.0,165200.0,21.371670420055747,91.12561730174218
6610.0,165225.0,21.37144937085546,91.1255681596034
6611.0,165250.0,21.371228321634966,91.12551901761219
6612.0,165275.0,21.37100727239427,91.12546987576849
6613.0,165300.0,21.370786223133365,91.12542073407224
6614.0,165325.0,21.370565173852263,91.1253715925236
6615.0,165350.0,21.370344124550957,91.12532245112243
6616.0,165375.0,21.370123075229447,91.1252733098687
6617.0,165400.0,21.369902025887733,91.12522416876254
6618.0,165425.0,21.36968097652582,91.12517502780389
6619.0,165450.0,21.369459927143698,91.12512588699275
6620.0,165475.0,21.369238877741378,91.12507674632911
6621.0,165500.0,21.369017828318853,91.12502760581299
6622.0,165525.0,21.368796778876128,91.12497846544431
6623.0,165550.0,21.368575729413205,91.12492932522315
6624.0,165575.0,21.368354679930082,91.1248801851495
6625.0,165600.0,21.36813363042675,91.12483104522335
6626.0,165625.0,21.36791258090323,91.12478190544459
6627.0,165650.0,21.367691531359505,91.1247327658134
6628.0,165675.0,21.367470481795568,91.12468362632973
6629.0,165700.0,21.367249432211445,91.1246344869935
6630.0,165725.0,21.367028382607113,91.12458534780473
6631.0,165750.0,21.36680733298259,91.12453620876346
6632.0,165775.0,21.366586283337863,91.12448706986964
6633.0,165800.0,21.366365233672944,91.12443793112334
6634.0,165825.0,21.366144183987817,91.12438879252448
6635.0,165850.0,21.3659231342825,91.12433965407308
6636.0,165875.0,21.365702084556975,91.12429051576919
6637.0,165900.0,21.365481034811264,91.12424137761275
6638.0,165925.0,21.365259985045352,91.12419223960376
6639.0,165950.0,21.36503893525924,91.12414310174222
6640.0,165975.0,21.36481788545293,91.12409396402819
6641.0,166000.0,21.364596835626422,91.12404482646156
6642.0,166025.0,21.364375785779725,91.12399568904243
6643.0,166050.0,21.364154735912827,91.1239465517707
6644.0,166075.0,21.36393368602573,91.12389741464648
6645.0,166100.0,21.363712636118446,91.12384827766965
6646.0,166125.0,21.363491586190957,91.12379914084033
6647.0,166150.0,21.363270536243274,91.12375000415841
6648.0,166175.0,21.3630494862754,91.12370086762394
6649.0,166200.0,21.362828436287334,91.12365173123692
6650.0,166225.0,21.36260738627907,91.12360259499735
6651.0,166250.0,21.362386336250612,91.12355345890518
6652.0,166275.0,21.362165286201957,91.12350432296046
6653.0,166300.0,21.361944236133112,91.12345518716313
6654.0,166325.0,21.361723186044074,91.12340605151331
6655.0,166350.0,21.361502135934845,91.12335691601089
6656.0,166375.0,21.361281085805413,91.12330778065586
6657.0,166400.0,21.3610600356558,91.12325864544829
6658.0,166425.0,21.360838985485987,91.12320951038816
6659.0,166450.0,21.36061793529599,91.12316037547544
6660.0,166475.0,21.360396885085787,91.1231112407101
6661.0,166500.0,21.360175834855408,91.12306210609216
6662.0,166525.0,21.35995478460483,91.12301297162168
6663.0,166550.0,21.359733734334057,91.12296383729858
6664.0,166575.0,21.3595126840431,91.12291470312289
6665.0,166600.0,21.35929163373195,91.12286556909464
6666.0,166625.0,21.359070583400605,91.12281643521379
6667.0,166650.0,21.35884953304908,91.12276730148034
6668.0,166675.0,21.358628482677357,91.12271816789428
6669.0,166700.0,21.358407432285446,91.12266903445561
6670.0,166725.0,21.358186381873345,91.12261990116434
6671.0,166750.0,21.35796533144106,91.12257076802047
6672.0,166775.0,21.357744280988584,91.12252163502399
6673.0,166800.0,21.357523230515916,91.1224725021749
6674.0,166825.0,21.35730218002306,91.12242336947315
6675.0,166850.0,21.357081129510018,91.12237423691886
6676.0,166875.0,21.356860078976787,91.1223251045119
6677.0,166900.0,21.35663902842337,91.1222759722524
6678.0,166925.0,21.356417977849762,91.12222684014017
6679.0,166950.0,21.356196927255972,91.1221777081754
6680.0,166975.0,21.355975876641995,91.12212857635797
6681.0,167000.0,21.355754826007832,91.12207944468793
6682.0,167025.0,21.35553377535347,91.12203031316523
6683.0,167050.0,21.355312724678935,91.12198118178992
6684.0,167075.0,21.355091673984212,91.12193205056201
6685.0,167100.0,21.354870623269306,91.12188291948144
6686.0,167125.0,21.354649572534214,91.1218337885482
6687.0,167150.0,21.354428521778928,91.1217846577623
6688.0,167175.0,21.35420747100346,91.1217355271238
6689.0,167200.0,21.353986420207818,91.1216863966327
6690.0,167225.0,21.35376536939198,91.12163726628887
6691.0,167250.0,21.35354431855596,91.12158813609244
6692.0,167275.0,21.35332326769976,91.12153900604335
6693.0,167300.0,21.353102216823373,91.1214898761416
6694.0,167325.0,21.352881165926807,91.12144074638724
6695.0,167350.0,21.35266011501006,91.12139161678016
6696.0,167375.0,21.352439064073128,91.12134248732048
6697.0,167400.0,21.352218013116005,91.12129335800807
6698.0,167425.0,21.351996962138713,91.12124422884307
6699.0,167450.0,21.351775911141228,91.12119509982534
